,onset_time,sound_frequency,target_interval,response
887,3474.274765625,1000,1,1
888,3476.78453125,1000,2,2
889,3478.704453125,1000,2,2
890,3480.212265625,1000,1,1
891,3482.727890625,1000,1,1
892,3485.17125,1000,2,2
893,3487.13609375,1000,2,2
894,3488.94078125,1000,1,1
895,3491.4525,1200,2,2
896,3493.470078125,1000,2,2
897,3494.891953125,1200,1,1
898,3497.2884375,1000,2,2
899,3498.677109375,1000,1,1
900,3722.85875,1000,2,2
901,3724.79625,1000,2,2
902,3726.661484375,1200,2,1
903,3728.9759375,1000,2,2
904,3731.02671875,1000,2,2
905,3732.501328125,1000,1,1
906,3734.8275,1200,2,1
907,3736.302109375,1000,1,1
908,3739.110703125,1000,2,2
909,3741.0384375,1000,2,2
910,3742.468125,1200,1,1
911,3745.079453125,1200,2,2
912,3746.501328125,1000,1,1
913,3748.87828125,1000,2,2
914,3750.501328125,1000,1,1
915,3753.37828125,1000,2,2
916,3755.843125,1000,2,1
917,3757.977890625,1200,2,1
918,3760.091171875,1000,2,2
919,3761.942734375,1200,2,1
920,3763.968125,1000,1,1
921,3766.427109375,1200,2,1
922,3768.265,1200,1,1
923,3770.218125,1000,1,1
924,3772.89390625,1200,2,1
925,3774.48375,1000,1,1
926,3776.6478125,1200,1,1
927,3778.962265625,1000,2,2
928,3781.192734375,1000,2,2
929,3782.58140625,1000,1,1
930,3785.177109375,1000,2,2
931,3786.6321875,1000,1,1
932,3789.08140625,1000,2,2
933,3790.911484375,1200,2,1
934,3792.958359375,1000,2,2
935,3795.247421875,1000,1,1
936,3797.76109375,1000,2,2
937,3799.249375,1000,1,1
938,3801.114609375,1000,1,1
939,3802.94859375,1000,1,1
940,3805.509140625,1000,2,2
941,3807.528671875,1000,1,1
942,3809.5853125,1000,1,1
943,3811.466171875,1000,1,1
944,3814.013046875,1000,2,2
945,3816.282578125,1000,1,2
946,3818.265,1000,1,1
947,3820.18296875,1000,1,1
948,3822.70640625,1000,2,2
949,3824.708359375,1000,2,1
950,3829.438828125,1000,2,2
951,3831.57359375,1200,2,1
952,3833.72984375,1200,1,2
953,3836.391953125,1200,2,2
954,3838.411484375,1000,2,1
955,3840.626328125,1000,2,2
956,3842.165390625,1000,1,1
957,3844.251328125,1000,1,1
958,3846.7259375,1000,2,2
959,3848.048203125,1000,1,1
960,3850.0853125,1200,1,1
961,3852.540390625,1000,2,2
962,3854.09703125,1000,1,1
963,3855.907578125,1000,1,2
964,3858.40953125,1200,2,1
965,3860.489609375,1200,2,1
966,3861.79625,1000,1,1
967,3864.489609375,1000,2,1
968,3865.905625,1000,1,1
969,3868.454453125,1000,2,2
970,3870.622421875,1000,2,2
971,3872.434921875,1000,1,1
972,3874.348984375,1200,1,2
973,3877.34703125,1000,1,1
974,3879.95640625,1000,2,2
975,3881.94078125,1000,2,2
976,3883.806015625,1000,2,2
977,3885.561875,1200,1,1
978,3888.0384375,1000,2,2
979,3889.4290625,1000,1,1
980,3891.7884375,1000,2,2
981,3893.720078125,1200,2,2
982,3895.82359375,1000,2,2
983,3898.2884375,1200,2,1
984,3900.29234375,1200,2,1
985,3902.70640625,1000,2,2
986,3904.28453125,1000,1,1
987,3906.329453125,1000,1,1
988,3908.7025,1000,2,2
989,3910.12828125,1200,1,1
990,3912.16734375,1000,1,1
991,3914.446640625,1000,1,1
992,3916.958359375,1000,2,2
993,3918.567734375,1000,1,1
994,3920.880234375,1000,1,2
995,3923.329453125,1000,1,2
996,3925.87046875,1000,2,2
997,3927.708359375,1000,2,1
998,3929.145859375,1000,1,1
999,3931.14390625,1200,1,2
