,time,target,response,frequency
0,2.74658203125,1,1,1000
1,5.25634765625,1,2,1000
2,9.6259765625,2,2,1000
3,11.2958984375,1,1,1000
4,13.52587890625,1,1,1200
5,17.40576171875,2,2,1000
6,18.92578125,1,2,1000
7,22.455078125,1,1,1200
8,25.3251953125,2,1,1000
9,27.455078125,1,1,1000
10,29.80517578125,1,1,1000
11,32.10498046875,1,2,1000
12,37.02490234375,2,1,1000
13,38.90478515625,1,2,1000
14,41.82470703125,1,1,1000
15,44.04443359375,1,1,1200
16,47.59423828125,2,2,1000
17,49.32421875,1,2,1000
18,52.494140625,2,2,1000
19,54.1435546875,1,2,1200
20,56.8935546875,2,1,1200
21,60.853515625,1,1,1000
22,63.7236328125,2,1,1200
23,65.72314453125,1,1,1200
24,68.693359375,2,2,1000
25,70.80322265625,2,2,1000
26,73.1728515625,2,1,1200
27,75.49267578125,2,1,1000
28,77.302734375,1,1,1200
29,79.77294921875,1,1,1000
30,82.642578125,2,2,1200
31,85.04248046875,2,2,1000
32,87.50244140625,2,2,1200
33,89.6923828125,2,2,1000
34,92.02197265625,2,1,1000
35,95.82177734375,2,1,1000
36,98.7919921875,2,2,1000
37,101.001953125,2,2,1000
38,102.75146484375,1,1,1000
39,104.9912109375,1,1,1200
40,108.55126953125,1,1,1000
41,111.47119140625,2,1,1000
42,113.791015625,2,2,1000
43,116.041015625,2,2,1000
44,118.24072265625,2,2,1000
45,120.470703125,2,1,1200
46,123.25048828125,1,1,1000
47,126.0703125,2,2,1000
48,128.3203125,2,2,1000
0,133.7392578125,2,2,1000
1,135.2392578125,1,1,1000
2,137.94921875,2,2,1200
3,139.94921875,2,2,1000
4,141.5888671875,1,2,1000
5,145.21875,1,1,1000
6,147.94873046875,2,1,1000
7,150.3486328125,2,2,1000
8,152.08837890625,1,2,1000
9,154.78857421875,1,1,1000
10,157.59814453125,2,2,1000
11,159.248046875,1,2,1000
12,163.64794921875,1,1,1000
13,166.4375,2,1,1200
14,168.79736328125,2,1,1200
15,170.69775390625,1,2,1000
16,173.017578125,1,1,1000
17,175.8671875,2,2,1000
18,178.88720703125,2,2,1200
19,180.7373046875,1,1,1000
20,183.796875,1,1,1000
21,186.63671875,2,2,1000
22,188.98681640625,2,1,1000
23,192.986328125,1,1,1000
24,195.0361328125,1,1,1200
25,199.236328125,2,1,1000
26,200.96630859375,1,1,1000
27,203.73583984375,2,1,1200
28,206.435546875,1,1,1000
29,208.56591796875,1,1,1000
30,210.765625,1,1,1000
31,213.0654296875,1,1,1000
32,215.7451171875,2,1,1200
33,217.38525390625,1,2,1000
34,220.5849609375,2,1,1000
35,222.9150390625,2,1,1000
36,225.56494140625,1,1,1000
37,228.1650390625,1,1,1000
38,230.96435546875,2,1,1200
39,233.6845703125,1,1,1000
40,236.494140625,2,1,1200
41,238.29443359375,1,2,1000
42,241.56396484375,2,1,1200
43,244.31396484375,1,1,1000
44,248.49365234375,2,1,1000
45,250.28369140625,1,1,1000
46,253.013671875,2,2,1000
47,255.2333984375,2,1,1200
48,257.6630859375,1,1,1200
0,263.88232421875,1,1,1200
1,268.9423828125,1,1,1000
2,271.7421875,2,1,1000
3,274.2119140625,1,1,1000
4,276.99169921875,2,2,1000
5,279.29150390625,2,2,1000
6,281.16162109375,1,1,1000
7,283.44140625,1,1,1000
8,285.7314453125,1,1,1000
9,288.59130859375,2,1,1200
10,291.0810546875,1,1,1000
11,293.9609375,2,1,1200
12,296.23095703125,1,1,1000
13,300.13037109375,1,1,1200
14,303.89013671875,2,1,1200
15,306.1904296875,1,1,1000
16,308.5400390625,1,1,1200
17,310.93017578125,1,1,1000
18,313.740234375,2,1,1000
19,316.23974609375,2,1,1000
20,318.10986328125,1,1,1200
21,320.3896484375,1,1,1000
22,323.4296875,2,1,1000
23,325.2392578125,1,2,1000
24,328.33935546875,1,1,1200
