,time,target,response,frequency
0,2.6689453125,2,1,1000
1,5.37890625,2,1,1000
2,7.27880859375,1,1,1000
3,9.8984375,1,2,1200
4,12.8984375,2,2,1000
5,14.84814453125,1,1,1000
6,17.51806640625,2,2,1000
7,19.66796875,2,1,1200
8,21.8779296875,2,2,1000
9,23.97802734375,2,2,1000
10,25.8974609375,2,1,1200
11,27.69775390625,1,1,1000
12,29.8974609375,1,1,1000
13,32.34716796875,2,1,1200
14,35.0771484375,2,2,1000
15,36.97705078125,2,2,1000
16,38.47705078125,1,2,1200
17,41.2470703125,2,2,1000
18,42.7470703125,1,1,1000
19,45.01708984375,1,1,1000
20,46.91650390625,1,1,1200
21,49.57666015625,1,2,1200
22,52.29638671875,2,2,1000
23,53.7763671875,1,1,1200
24,56.2265625,1,1,1000
25,58.2158203125,1,1,1200
26,60.8759765625,1,1,1000
27,63.0458984375,1,1,1200
28,65.666015625,1,1,1000
29,67.595703125,1,1,1000
30,70.4755859375,2,2,1000
31,72.44580078125,2,2,1000
32,73.91552734375,1,1,1000
33,76.09521484375,1,1,1000
34,79.125,2,2,1000
35,81.294921875,2,1,1000
36,83.96484375,2,2,1000
37,85.294921875,1,2,1000
38,87.544921875,1,1,1000
39,89.974609375,1,1,1000
40,92.224609375,1,2,1000
41,94.8642578125,1,1,1000
42,97.26416015625,1,1,1000
43,99.814453125,2,2,1000
44,101.2939453125,1,1,1000
45,104.3740234375,2,1,1200
46,106.2138671875,1,1,1000
47,109.2734375,2,1,1200
48,111.32373046875,1,1,1000
0,118.26318359375,2,2,1000
1,120.32275390625,2,2,1000
2,122.462890625,2,2,1200
3,124.16259765625,1,1,1000
4,126.67236328125,1,2,1200
5,129.09228515625,1,2,1000
6,132.142578125,2,2,1000
7,134.34228515625,2,2,1000
8,135.86181640625,1,1,1200
9,138.27197265625,1,1,1000
10,140.912109375,2,2,1000
11,142.271484375,1,2,1200
12,144.4619140625,1,1,1000
13,146.57177734375,1,2,1000
14,148.69140625,1,2,1200
15,151.46142578125,2,2,1000
16,152.97119140625,1,1,1000
17,155.7412109375,2,2,1000
18,157.27099609375,1,1,1000
19,159.2412109375,1,1,1000
20,161.66064453125,1,1,1000
21,163.791015625,1,2,1000
22,165.7705078125,1,1,1000
23,167.91064453125,1,2,1000
24,169.9404296875,1,1,1000
25,172.66015625,2,2,1000
26,173.990234375,1,1,1000
27,176.41015625,1,1,1000
28,179.31982421875,2,2,1200
29,180.9697265625,1,1,1200
30,183.7099609375,2,2,1000
31,185.6396484375,2,2,1000
32,187.5693359375,2,2,1200
33,189.259765625,1,1,1000
34,191.9091796875,2,2,1000
35,193.25927734375,1,1,1000
36,195.3193359375,1,1,1000
37,197.9189453125,2,2,1000
38,199.55908203125,1,1,1200
39,202.23876953125,2,2,1000
40,203.98876953125,1,1,1000
41,206.6689453125,2,2,1000
42,209.78857421875,2,2,1200
43,211.36865234375,1,1,1000
44,213.63818359375,1,1,1000
45,216.51806640625,2,2,1000
46,218.66796875,2,1,1200
47,221.2177734375,2,2,1000
48,223.31787109375,2,2,1200
0,228.8076171875,2,1,1000
1,230.53759765625,1,2,1000
2,233.537109375,2,2,1000
3,235.0869140625,1,1,1200
4,237.4873046875,1,1,1000
5,239.60693359375,1,1,1000
6,242.26708984375,2,2,1000
7,243.806640625,1,1,1000
8,246.63623046875,2,1,1200
9,248.306640625,1,2,1000
10,250.986328125,2,2,1200
11,252.83642578125,1,2,1200
12,255.13623046875,1,1,1000
13,258.505859375,2,2,1000
14,260.015625,1,2,1200
15,262.166015625,1,1,1000
16,264.81591796875,2,2,1000
17,266.45556640625,1,1,1000
18,268.5556640625,1,1,1000
19,270.70556640625,1,1,1000
20,273.68505859375,2,2,1200
21,276.01513671875,2,2,1000
22,278.30517578125,2,2,1000
23,280.73486328125,2,2,1000
24,282.634765625,2,2,1000
25,284.95458984375,2,2,1000
26,286.634765625,1,1,1000
27,289.61474609375,2,2,1000
28,291.38427734375,1,1,1000
29,293.9345703125,1,2,1000
30,296.55419921875,1,2,1200
31,298.833984375,1,2,1000
32,301.7041015625,1,1,1000
33,304.60400390625,2,2,1000
34,306.83349609375,2,2,1000
35,309.03369140625,2,2,1000
36,311.41357421875,2,2,1000
37,312.953125,1,2,1200
38,315.1533203125,1,1,1000
39,318.4130859375,2,1,1000
40,320.712890625,2,2,1200
41,322.36279296875,1,2,1200
42,324.68310546875,1,1,1000
43,327.33251953125,2,2,1000
44,329.33251953125,2,2,1200
45,331.11279296875,1,1,1000
46,333.162109375,1,1,1200
47,335.8623046875,2,2,1000
48,337.93212890625,2,2,1000
0,344.0517578125,2,2,1000
1,345.95166015625,2,1,1000
2,347.7119140625,1,1,1000
3,349.83154296875,1,2,1200
4,352.66162109375,2,2,1000
5,354.21142578125,1,1,1000
6,356.31103515625,1,2,1200
7,359.11083984375,2,1,1200
8,361.20068359375,2,2,1200
9,363.36083984375,2,2,1000
10,364.90087890625,1,2,1200
11,367.6806640625,2,2,1000
12,369.48046875,1,1,1000
13,372.150390625,2,2,1000
14,373.75048828125,1,2,1000
15,376.38037109375,1,1,1000
16,379.10009765625,2,2,1200
17,381.25,2,2,1200
18,383.4501953125,2,2,1000
19,384.9599609375,1,1,1000
20,387.7099609375,2,2,1000
21,389.27978515625,1,1,1000
22,392.0595703125,2,2,1000
23,394.529296875,2,2,1200
24,396.70947265625,1,1,1000
25,398.8994140625,1,1,1000
26,401.05908203125,1,2,1000
27,403.708984375,2,1,1200
28,405.82861328125,2,2,1200
29,407.458984375,1,1,1000
30,410.02880859375,2,2,1000
31,412.1083984375,2,2,1200
32,413.6484375,1,2,1200
33,416.478515625,2,2,1000
34,418.37841796875,2,2,1000
35,420.1484375,1,1,1000
36,422.72802734375,2,2,1000
