,subjectID,frequency,is_rare,is_tone,response
213,0,1000,0,0,1
214,0,1000,0,0,0
215,0,1000,0,0,0
216,0,1000,0,0,0
217,0,1000,0,0,0
218,0,1200,1,0,0
219,0,1000,0,0,0
220,0,1200,1,1,1
221,0,1000,0,0,0
222,0,1000,0,0,1
223,0,1000,0,0,1
224,1,1200,0,0,0
225,1,1200,0,1,0
226,1,1200,0,0,1
227,1,1200,0,0,0
228,1,1000,1,1,1
229,1,1200,0,1,0
230,1,1200,0,0,0
231,1,1000,1,0,0
232,1,1200,0,1,1
233,1,1200,0,0,0
234,1,1200,0,0,0
235,1,1200,0,0,0
236,1,1200,0,0,0
237,1,1200,0,1,1
238,1,1200,0,0,0
239,1,1200,0,1,1
240,1,1200,0,0,0
241,1,1200,0,0,0
242,1,1200,0,0,0
243,1,1200,0,0,0
244,1,1000,1,0,0
245,1,1200,0,0,0
246,1,1200,0,0,0
247,1,1200,0,1,1
248,1,1000,1,0,0
249,1,1000,1,0,0
250,1,1200,0,0,0
251,1,1000,1,1,1
252,1,1200,0,0,0
253,1,1200,0,1,0
254,1,1200,0,0,0
255,1,1200,0,1,1
256,1,1200,0,0,0
257,1,1000,1,0,0
258,1,1000,1,0,0
259,1,1200,0,0,0
260,1,1000,1,0,0
261,1,1200,0,0,0
262,1,1200,0,0,0
263,1,1000,1,0,0
264,1,1200,0,0,0
265,1,1200,0,0,0
266,1,1200,0,1,1
267,1,1200,0,0,0
268,1,1200,0,1,1
269,1,1200,0,0,0
270,1,1200,0,0,0
271,1,1000,1,1,1
272,1,1200,0,0,1
273,1,1200,0,0,1
274,1,1200,0,1,0
275,1,1200,0,0,0
276,1,1200,0,0,0
277,1,1200,0,0,0
278,1,1000,1,0,0
279,1,1000,1,0,0
280,1,1000,1,1,1
281,1,1000,1,0,0
282,1,1200,0,0,0
283,1,1200,0,1,0
284,1,1000,1,0,1
285,1,1200,0,0,0
286,1,1200,0,0,0
287,1,1200,0,0,0
288,1,1200,0,0,0
289,1,1000,1,0,0
290,1,1200,0,1,1
291,1,1200,0,0,1
292,1,1200,0,0,1
293,1,1200,0,1,1
294,1,1200,0,0,0
295,1,1200,0,0,0
296,1,1000,1,0,0
297,1,1200,0,1,1
298,1,1200,0,1,1
299,1,1200,0,0,0
300,1,1200,0,0,0
301,1,1200,0,1,1
302,1,1200,0,0,1
303,1,1000,1,0,0
304,1,1200,0,0,0
305,1,1200,0,0,0
306,1,1200,0,0,0
307,1,1200,0,1,1
308,1,1000,1,0,1
309,1,1200,0,1,1
310,1,1200,0,1,1
311,1,1000,1,1,1
312,1,1000,1,0,0
313,1,1200,0,0,0
314,1,1200,0,0,0
315,1,1000,1,1,1
316,1,1000,1,0,0
317,1,1000,1,0,1
318,1,1200,0,0,0
319,1,1200,0,1,1
320,1,1200,0,0,0
321,1,1200,0,0,0
322,1,1200,0,0,0
323,1,1200,0,1,1
324,1,1200,0,0,0
325,1,1200,0,0,0
326,1,1200,0,0,0
327,1,1200,0,0,0
328,1,1200,0,0,0
329,1,1000,1,0,1
330,1,1000,1,1,1
331,1,1000,1,0,0
332,1,1200,0,0,0
333,1,1000,1,1,1
334,1,1200,0,1,1
335,1,1000,1,0,0
336,1,1000,1,0,0
337,1,1200,0,0,0
338,1,1200,0,0,0
339,1,1200,0,0,0
340,1,1200,0,0,0
341,1,1200,0,0,0
342,1,1200,0,0,0
343,1,1200,0,0,0
344,1,1200,0,0,0
345,1,1200,0,0,0
346,1,1200,0,0,0
347,1,1200,0,0,0
348,1,1200,0,0,0
349,1,1000,1,0,0
350,1,1200,0,0,0
351,1,1200,0,1,1
352,1,1200,0,0,0
353,1,1000,1,0,0
354,1,1200,0,0,0
355,1,1200,0,1,1
356,1,1200,0,0,0
357,1,1000,1,0,0
358,1,1200,0,0,0
359,1,1000,1,0,0
360,1,1200,0,0,0
361,1,1200,0,1,0
362,1,1000,1,1,1
363,1,1200,0,0,0
364,1,1000,1,1,1
365,1,1200,0,0,0
366,1,1200,0,0,0
367,1,1200,0,0,0
368,1,1200,0,0,0
369,1,1200,0,0,0
370,1,1200,0,0,0
371,1,1200,0,1,1
372,1,1200,0,1,0
373,1,1200,0,1,1
374,1,1200,0,0,1
375,1,1200,0,1,1
376,1,1000,1,0,1
377,1,1200,0,0,0
378,1,1200,0,0,0
379,1,1000,1,0,0
380,1,1200,0,0,0
381,1,1000,1,0,0
382,1,1000,1,0,0
383,1,1000,1,0,0
384,1,1200,0,0,0
385,1,1200,0,0,0
386,1,1000,1,1,1
387,1,1200,0,0,0
388,1,1000,1,0,0
389,1,1200,0,1,1
390,1,1200,0,0,0
391,1,1200,0,0,0
392,1,1200,0,0,0
393,1,1200,0,1,1
394,1,1200,0,1,1
395,1,1200,0,0,0
396,1,1200,0,1,1
397,1,1200,0,0,0
398,1,1200,0,0,1
399,1,1200,0,0,1
400,1,1200,0,0,0
401,1,1200,0,0,0
402,1,1200,0,0,0
403,1,1200,0,0,0
404,1,1200,0,0,0
405,1,1200,0,1,0
406,1,1200,0,0,0
407,1,1000,1,0,0
408,1,1000,1,0,0
409,1,1000,1,1,0
410,1,1200,0,0,0
411,1,1000,1,0,0
412,1,1200,0,0,0
413,1,1200,0,0,0
414,1,1200,0,0,0
415,1,1200,0,1,1
416,2,1000,0,0,0
417,2,1000,0,0,0
418,2,1000,0,0,0
419,2,1200,1,0,0
420,2,1000,0,0,0
421,2,1200,1,1,1
422,2,1000,0,0,1
423,2,1200,1,1,0
424,2,1000,0,1,1
425,2,1000,0,0,0
426,2,1000,0,0,0
427,2,1200,1,0,0
428,2,1000,0,0,0
429,2,1000,0,1,1
430,2,1000,0,0,1
431,2,1200,1,1,0
432,2,1000,0,1,1
433,2,1000,0,0,0
434,2,1000,0,0,1
435,2,1000,0,0,1
436,2,1000,0,0,1
437,2,1000,0,0,0
438,2,1000,0,0,1
439,2,1000,0,0,1
440,2,1000,0,1,1
441,2,1000,0,0,1
442,2,1200,1,0,0
443,2,1000,0,0,0
444,2,1000,0,1,1
445,2,1000,0,0,0
446,2,1000,0,0,0
447,2,1200,1,0,0
448,2,1000,0,0,1
449,2,1000,0,1,1
450,2,1200,1,0,0
451,2,1000,0,0,0
452,2,1200,1,1,0
453,2,1200,1,0,0
454,2,1000,0,0,0
455,2,1000,0,1,1
